iter	Passed	Remaining
0	1	115
1	1	94
2	3	113
3	4	105
4	5	100
5	6	97
6	7	98
7	8	99
8	9	98
9	10	95
10	11	95
11	13	95
12	14	94
13	15	94
14	16	93
15	17	91
16	18	91
17	19	90
18	20	89
19	21	87
20	22	85
21	23	84
22	24	83
23	26	82
24	26	80
25	27	78
26	28	76
27	29	75
28	29	73
29	30	71
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	62
36	35	60
37	36	59
38	36	57
39	37	56
40	38	54
41	38	52
42	38	51
43	39	50
44	40	49
45	40	48
46	41	46
47	42	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	45	38
54	46	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	50	31
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	74	0
